Type,Country,Activity,Sex,Age,Fatal,Species
Boating,USA,Paddling,F,57,N,white shark
Unprovoked,USA,Fishing,M,52,N,lemon shark
Unprovoked,USA,Walking,M,15,N,bull shark
Unprovoked,USA,Body boarding,M,29,N,unknown
Unprovoked,USA,Stand-Up Paddleboarding,M,25,N,tiger shark
Unprovoked,USA,Surfing,F,54,N,tiger shark
Unprovoked,USA,Spearfishing,M,25,N,white shark
Unprovoked,USA,Surfing,M,54,N,tiger shark
Unprovoked,USA,Snorkeling,F,40,N,unknown
Unprovoked,USA,Surfing,M,18,N,unknown
Unprovoked,USA,SUP,M,69,N,white shark
Unprovoked,USA,Swimming,M,13,N,blacktip shark
Provoked,USA,Fishing,M,34,N,unknown
Boating,USA,Kayaking,M,40,N,white shark
Unprovoked,USA,SUP,M,50,N,white shark
Unprovoked,USA,Swimming,M,46,N,bull shark
Unprovoked,USA,Swimming,F,14,N,bull shark
Provoked,USA,Touching a shark,F,20,N,unknown
Unprovoked,USA,Surfing,M,28,N,tiger shark
Unprovoked,USA,Swimming,F,17,N,bull shark
Unprovoked,USA,Floating,F,58,N,tiger shark
Unprovoked,USA,Surfing,M,36,N,unknown
Unprovoked,USA,Wading,M,60s,N,unknown
Unprovoked,USA,Swimming,F,51,N,tiger shark
Unprovoked,USA,Spearfishing,M,22,N,white shark
Unprovoked,USA,Surfing,M,25,N,bull shark
Unprovoked,USA,SUP Foil boarding,M,21,N,tiger shark
Unprovoked,USA,Surfing,M,22,N,blacktip shark
Provoked,USA,Lobstering,M,43,N,nurse shark
Unprovoked,USA,Kite surfing,M,61,N,white shark
Provoked,USA,Fishing,M,59,N,dogfish shark
Unprovoked,USA,Floating,M,42,N,unknown
Unprovoked,USA,Floating in tube,F,6,N,unknown
Unprovoked,USA,Standing,M,19,N,unknown
Unprovoked,USA,Swimming,M,13,N,unknown
Unprovoked,USA,Swimming,F,22,N,bull shark
Unprovoked,USA,Swimming,M,48,N,blacktip shark
Provoked,USA,Teasing a shark,F,23,N,nurse shark
Unprovoked,USA,Spearfishing,M,26,N,bull shark
Unprovoked,USA,Fishing,M,34,N,unknown
Unprovoked,USA,Paddle boarding,M,48,N,tiger shark
Unprovoked,USA,Paddle boarding,M,71,N,unknown
Unprovoked,USA,Surfing,M,28,N,spinner shark
Unprovoked,USA,Wading,F,28,N,unknown
Unprovoked,USA,Surfing,M,21,N,unknown
Unprovoked,USA,Surfing,M,21,N,spinner shark
Unprovoked,USA,Swimming,M,44,N,tiger shark
Unprovoked,USA,Surfing,M,25,N,tiger shark
Unprovoked,USA,Wading,M,13,N,unknown
Unprovoked,USA,Surfing,M,14,N,blacktip shark
Unprovoked,USA,Surfing,M,22,N,blacktip shark
Unprovoked,USA,Surfing,M,14,N,juvenile shark
Unprovoked,USA,Spearfishing,M,27,N,tiger shark
Unprovoked,USA,Wading,M,12,N,unknown
Unprovoked,USA,Stand-Up Paddleboarding,F,50,N,white shark
Provoked,USA,Kayak Fishing,M,29,N,hammerhead shark
Unprovoked,USA,Surfing,F,54,N,white shark
Unprovoked,USA,Surfing,M,21,N,white shark
Unprovoked,USA,Surfing,M,15,N,unknown
Unprovoked,USA,Walking,F,10,N,unknown
Boating,USA,Kayak Fishing,M,22,N,white shark
Provoked,USA,Spearfishing,M,57,N,hammerhead shark
Unprovoked,USA,Surfing,M,25,N,spinner shark
Provoked,USA,Kayak Fishing,M,31,N,mako shark
Unprovoked,USA,Surfing,M,38,N,white shark
Unprovoked,USA,Swimming,M,68,N,unknown
Unprovoked,USA,Playing in the water,M,12,N,unknown
Unprovoked,USA,Swimming,M,18,N,bull shark
Unprovoked,USA,Standing,M,43,N,unknown
Unprovoked,USA,Swimming,M,6,N,sandtiger shark
Unprovoked,USA,Standing,M,9,N,unknown
Unprovoked,USA,Wading,M,16,N,bull shark
Unprovoked,USA,Wading,F,12,N,bull shark
Unprovoked,USA,Boogie boarding,F,13,N,unknown
Unprovoked,USA,Playing,M,11,N,bull shark
Unprovoked,USA,Attempting to rescue a shark,F,17,N,nurse shark
Unprovoked,USA,Surfing,M,18,N,unknown
Unprovoked,USA,Wading,M,63,N,foot shark
Unprovoked,USA,Photographing the shark,M,48,N,blue shark
Unprovoked,USA,Spearfishing,M,70,N,bull shark
Unprovoked,USA,Standing / Snorkeling,M,58,N,tiger shark
Provoked,USA,Shark fishing,M,20,N,unknown
Unprovoked,USA,Surfing,M,50,N,white shark
Unprovoked,USA,Surfing,M,44,N,unknown
Unprovoked,USA,Snorkeling,M,53,N,unknown
Unprovoked,USA,Surfing,F,34,N,tiger shark
Unprovoked,USA,Standing in inner tube,F,7,N,bull shark
Unprovoked,USA,Surfing,M,29,N,blacktip shark
Unprovoked,USA,Surfing,M,15,N,blacktip shark
Unprovoked,USA,Surfing,M,28,N,unknown
Unprovoked,USA,Fishing,M,43,N,bull shark
Boating,USA,Kayaking,F,20s,N,white shark
Provoked,USA,Fishing,M,52,N,unknown
Unprovoked,USA,Body surfing,F,13,N,spinner shark
Unprovoked,USA,Surfing,M,17,N,spinner shark
Unprovoked,USA,Surfing,M,29,N,unknown
Unprovoked,USA,Swimming,M,7,N,bull shark
Unprovoked,USA,Boogie boarding,M,10,N,tp shark
Unprovoked,USA,Swimming,M,Teen,N,tiger shark
